ID,CALL,CN,TYPE,INDEX
FLRDDECC4,YU-4467,P,JS 1C,98
 ,OK-1221,IEX,EB 29 R,125
FLRDF0864,D-KQAC,AS,Quintus M,110
FLRDDDDF6,OH-982,3G,LAK-20T,120
FLR00901A,ZS-GBX,BJ,JS1c-tj-21m,121
 ,D-KEXP,EX,EB 28 Edition,124
FLRD00158,OK-4466,ZF,JS-MD Single,98
 ,ZS-GER,SB,JS1-C,98
 ,ZS-GZO,HAB,JS1-21,92
FLRDDEADE,D-KWEB,FB,EB 29,125
FLRD00537,ZS-GEI,EJ,JS1c 21m,121
FLR3E6A03,D-KFIP,IP3,EB29 DR,125
FLRDF10B8,D-KKDD,DD,EB 29 DR,125
FLRDDEF7B,ZS-GXL,LEO,JS1-c 21m,121
FLRDDEED1,D-KOWB,WB,EB 29 DR,125
FLRDDF05D,D-KJEB,EB,JS 1c 21m,121
 ,ZS-GBP,B52,JS1 21m,121
